Species,Aspect,Information,Measure
Citrus 脳 limon 'Rosso',Edible Properties,"Fruits are edible and highly aromatic, used in culinary applications.","Fruits are edible and highly aromatic, used in culinary applications."
Citrus 脳 limon 'Rosso',Seasonal Variations,Adjust watering and fertilization schedules according to seasonal changes. Harvest fruits when they fully mature to bright yellow for the best flavor.,Harvest fruits when they fully mature to bright yellow for the best flavor.
Citrus 脳 limon 'Rosso',Control Methods,"Provide winter protection in colder climates to avoid frost damage. Regularly prune to maintain shape and health, removing any dead or diseased branches.",Provide winter protection in colder climates to avoid frost damage.
Osmanthus fragrans,Growth Habit,"Evergreen shrub or small tree, 3-5 meters tall, can reach up to 18 meters; leathery leaves are oval to elliptical, with entire or serrated margins; flowers are small, highly fragrant, cream to yellow, blooming in clusters.",Prune annually to shape the plant and remove any dead or diseased branches to promote healthy growth.
Osmanthus fragrans,Soil Requirements,"Requires well-drained, fertile, slightly acidic soil; full sun to partial shade exposure.",Ensure the soil is well-drained and fertile; provide full sun to partial shade exposure.
Osmanthus fragrans,Water Requirements,"Water regularly to maintain moist soil conditions, especially during dry spells.","Water regularly to maintain moist soil conditions, especially during dry spells."
Osmanthus fragrans,Light Conditions,"Plant in a location that receives adequate sunlight for at least 6-8 hours a day. Prefers warm, moist subtropical climates.",Plant in a location that receives adequate sunlight for at least 6-8 hours a day.
Osmanthus fragrans,Fertilization Requirements,"Fertilize with a balanced, slow-release fertilizer in the spring and late summer.","Fertilize with a balanced, slow-release fertilizer in the spring and late summer."
Osmanthus fragrans,Pests and Diseases,Susceptible to leaf spot and scale insects. Treatment includes fungicides and pesticides as necessary.,Inspect regularly for signs of pests or disease and treat promptly with appropriate pesticides or fungicides.
Osmanthus fragrans,Cultivation Techniques,"Propagated mainly by cuttings and grafting, ensuring faster reproduction and maintaining cultivar characteristics.","Propagated mainly by cuttings and grafting, ensuring faster reproduction and maintaining cultivar characteristics."
Osmanthus fragrans,Description,"Also known as Sweet Olive, Fragrant Olive, Tea Olive, and Kinmokusei in Japan. Flowers bloom profusely in autumn (September-October) with the fruit maturing the following March.",Flowers bloom profusely in autumn (September-October) with the fruit maturing the following March.
Osmanthus fragrans,Benefits,"Flowers are used to produce fragrant oils and teas, valued in perfumery and flavoring foods. The plant itself is widely used for landscaping due to its beauty and fragrance.","Flowers are used to produce fragrant oils and teas, valued in perfumery and flavoring foods. The plant itself is widely used for landscaping due to its beauty and fragrance."
Osmanthus fragrans,Pharmacological Properties,Contains compounds used in traditional medicine for their fragrant and medicinal properties.,Contains compounds used in traditional medicine for their fragrant and medicinal properties.
Osmanthus fragrans,Edible Properties,Flowers are edible and used to flavor teas and sweets.,Flowers are edible and used to flavor teas and sweets.
Osmanthus fragrans,Seasonal Variations,"Adjust care routines seasonally, especially watering and fertilization, to adapt to growth cycles and environmental conditions. Provide winter protection in colder areas to prevent frost damage.","Adjust care routines seasonally, especially watering and fertilization, to adapt to growth cycles and environmental conditions. Provide winter protection in colder areas to prevent frost damage."
Osmanthus fragrans,Control Methods,Prune annually to shape the plant and remove any dead or diseased branches to promote healthy growth. Inspect regularly for signs of pests or disease and treat promptly with appropriate pesticides or fungicides.,Prune annually to shape the plant and remove any dead or diseased branches to promote healthy growth.
Mentha citrata,Growth Habit,"Smooth plant with yellow glandular dots, deep green leaves often tinged with purple especially at the margins. Leaves are serrated. Emits a strong lemon scent when bruised.",Prune regularly to encourage bushier growth and prevent the plant from becoming leggy.
Mentha citrata,Soil Requirements,Plant in well-drained soil to prevent root rot. Choose a sunny location to promote essential oil production in the leaves.,Ensure planting in well-drained soil to prevent root rot.
Mentha citrata,Water Requirements,"Water regularly to keep the soil consistently moist but not waterlogged, especially during dry periods.",Water regularly to keep the soil consistently moist but not waterlogged.
Mentha citrata,Light Conditions,Ensure planting in full sun to partial shade. Prefers warm conditions and is highly frost-resistant.,Ensure planting in full sun to partial shade.
Mentha citrata,Fertilization Requirements,"Apply a balanced, slow-release fertilizer in early spring to support vigorous growth and optimal oil production in the leaves.","Apply a balanced, slow-release fertilizer in early spring to support vigorous growth and optimal oil production in the leaves."
Mentha citrata,Pests and Diseases,Susceptible to pests like aphids and spider mites. Use appropriate insecticides and maintain healthy growth conditions as preventative measures.,Monitor for pests like aphids and spider mites; use appropriate insecticides as needed.
Mentha citrata,Cultivation Techniques,"Plant in spring using loose, fertile, well-draining, and aerated soil. Ideal cultivation temperatures range from 20 to 30 degrees Celsius. Prune regularly to encourage bushier growth and prevent the plant from becoming leggy.","Plant in spring using loose, fertile, well-draining, and aerated soil. Ideal cultivation temperatures range from 20 to 30 degrees Celsius."
Mentha citrata,Description,"Also known as Citrus Mint, Pineapple Mint, Bergamot Mint, and in some regions of the U.S., Yerba Buena. Used for making lemon-flavored teas and has medicinal value in treating headaches, stomach aches, toothaches, bronchitis, and digestive issues.","Used for making lemon-flavored teas and has medicinal value in treating headaches, stomach aches, toothaches, bronchitis, and digestive issues."
